Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Kemal Ademi,ch SUI,"FW,MF",Paderborn 07,25,1996,6,1,160,1.8,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.3,3,5,10,0.56,0.00,0.56,0.56,0.56,0.72,0.04,0.75,0.72,0.75
Aremu Afeez,ng NGA,MF,St. Pauli,21,1999,21,14,"1,200",13.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,12,57,6,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Felix Agu,de GER,"DF,FW",Werder Bremen,21,1999,26,18,"1,641",18.2,0,2,2,0,0,0,0,0,1.6,1.6,2.4,4.0,57,61,118,0.00,0.11,0.11,0.00,0.11,0.09,0.13,0.22,0.09,0.22
Antonis Aidonis,de GER,DF,Dresden,20,2001,11,4,434,4.8,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,7,20,4,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Michael Akoto,de GER,"DF,MF",Dresden,24,1997,30,28,"2,508",27.9,1,1,2,1,0,0,7,1,2.3,2.3,0.7,3.0,44,128,49,0.04,0.04,0.07,0.04,0.07,0.08,0.03,0.11,0.08,0.11
Andreas Albers,dk DEN,FW,Jahn R'burg,31,1990,32,30,"2,718",30.2,9,3,12,7,2,2,3,0,9.9,8.4,3.3,11.6,20,63,159,0.30,0.10,0.40,0.23,0.33,0.33,0.11,0.44,0.28,0.39
Faride Alidou,de GER,"FW,MF",Hamburger SV,20,2001,23,15,"1,220",13.6,2,3,5,2,0,0,3,0,3.5,3.5,2.6,6.1,44,34,112,0.15,0.22,0.37,0.15,0.37,0.26,0.19,0.45,0.26,0.45
Etienne Amenyido,tg TOG,"FW,MF",St. Pauli,23,1998,13,8,580,6.4,3,3,6,3,0,0,1,0,1.7,1.7,1.0,2.7,6,7,47,0.47,0.47,0.93,0.47,0.93,0.27,0.15,0.42,0.27,0.42
Frederic Ananou,tg TOG,DF,Paderborn 07,23,1997,6,6,530,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,5,20,10,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Nico Antonitsch,at AUT,DF,Ingolstadt 04,29,1991,28,25,"2,265",25.2,1,0,1,1,0,0,4,0,1.1,1.1,0.1,1.3,4,43,4,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.05,0.05,0.05
