Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Samuel Abifade,de GER,"MF,FW",Meppen,22,1999,23,14,"1,336",14.8,3,0,3,3,0,0,3,1,0.20,0.00,0.20,0.20,0.20
Daniel Adamczyk,de GER,GK,Osnabrück,20,2002,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Orhan Ademi,ch SUI,FW,VfB Oldenburg,30,1991,12,1,364,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ayodele Adetula,de GER,"MF,FW",VfB Oldenburg,24,1998,19,5,576,6.4,2,0,2,2,0,0,2,0,0.31,0.00,0.31,0.31,0.31
Prince Adu-Addae Aning,nl NED,MF,Dortmund II,18,2004,16,4,519,5.8,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17
Noah Agbaje,de GER,MF,Zwickau,21,2001,5,0,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marvin Ajani,de GER,"MF,DF",MSV Duisburg,28,1993,35,25,"2,183",24.3,1,5,6,1,0,0,5,0,0.04,0.21,0.25,0.04,0.25
Cyrill Akono,de GER,FW,Verl,22,2000,17,10,980,10.9,5,1,6,5,0,0,2,0,0.46,0.09,0.55,0.46,0.55
Cyrill Akono,de GER,"FW,MF",Dortmund II,22,2000,12,4,396,4.4,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23
Michael Akoto,de GER,"MF,DF",Dresden,25,1997,21,14,"1,278",14.2,0,3,3,0,0,0,5,0,0.00,0.21,0.21,0.00,0.21
Ben Alexander Voll,de GER,GK,Viktoria Köln,21,2000,36,36,"3,240",36.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Felix Allgaier,de GER,MF,SC Freiburg II,19,2003,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marcos Álvarez,de GER,FW,Meppen,30,1991,9,2,351,3.9,1,4,5,1,0,0,3,0,0.26,1.03,1.28,0.26,1.28
Beyhan Ametov,de GER,MF,Meppen,23,1998,6,2,250,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Mohamed Amsif,ma MAR,GK,Wehen,33,1989,2,1,164,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Youssef Amyn,iq IRQ,MF,Viktoria Köln,18,2003,1,1,78,0.9,1,0,1,1,0,0,0,0,1.15,0.00,1.15,1.15,1.15
Nicolas Andermatt,ch SUI,MF,SpVgg Bayreuth,26,1995,22,11,865,9.6,0,1,1,0,0,0,4,1,0.00,0.10,0.10,0.00,0.10
Hamza Anhari,de GER,MF,MSV Duisburg,18,2004,2,0,76,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Nico Antonitsch,at AUT,DF,Ingolstadt 04,30,1991,3,1,133,1.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Nico Antonitsch,at AUT,DF,Elversberg,30,1991,17,13,"1,211",13.5,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07
Marcel Appiah,de GER,DF,VfB Oldenburg,34,1988,31,30,"2,612",29.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Ahmet Arslan,de GER,MF,Dresden,28,1994,36,36,"3,050",33.9,25,8,33,20,5,5,9,0,0.74,0.24,0.97,0.59,0.83
Raphael Assibey-Mensah,de GER,DF,Zwickau,22,1999,18,0,275,3.1,2,0,2,2,0,0,0,0,0.65,0.00,0.65,0.65,0.65
Noah Atubolu,de GER,GK,SC Freiburg II,20,2002,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Tom Baack,de GER,MF,Verl,23,1999,30,27,"2,204",24.5,2,2,4,2,0,0,2,0,0.08,0.08,0.16,0.08,0.16
,,,,,,,,,,,,,,,,,,,,,,
Kebba Badjie,gm GAM,"FW,MF",VfB Oldenburg,22,1999,23,18,"1,454",16.2,3,1,4,3,0,0,3,0,0.19,0.06,0.25,0.19,0.25
Marvin Bakalorz,de GER,MF,MSV Duisburg,32,1989,30,28,"2,299",25.5,3,0,3,3,0,0,5,0,0.12,0.00,0.12,0.12,0.12
Alaa Bakir,jo JOR,"MF,FW",MSV Duisburg,21,2001,15,7,590,6.6,2,3,5,2,0,0,1,0,0.31,0.46,0.76,0.31,0.76
Markus Ballmert,de GER,"DF,MF",Meppen,28,1993,33,31,"2,507",27.9,2,4,6,2,0,0,6,0,0.07,0.14,0.22,0.07,0.22
Samuel Bamba,de GER,FW,Dortmund II,18,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marcel Bär,de GER,FW,1860 Munich,30,1992,25,16,"1,588",17.6,6,1,7,6,0,0,2,0,0.34,0.06,0.40,0.34,0.40
André Barbosa,ch SUI,DF,SC Freiburg II,21,2000,3,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan-Christoph Bartels,de GER,GK,SV Waldhof,23,1999,19,19,"1,710",19.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Anthony Barylla,de GER,DF,Erzgebirge Aue,25,1997,21,18,"1,549",17.2,1,1,2,1,0,0,0,0,0.06,0.06,0.12,0.06,0.12
Felix Bastians,de GER,DF,Rot-Weiss Essen,34,1988,29,29,"2,564",28.5,6,0,6,3,3,3,3,0,0.21,0.00,0.21,0.11,0.11
Oliver Batista-Meier,de GER,FW,Verl,21,2001,8,2,247,2.7,1,1,2,1,0,0,1,0,0.36,0.36,0.73,0.36,0.73
Oliver Batista-Meier,de GER,"FW,MF",Dresden,21,2001,4,0,44,0.5,0,1,1,0,0,0,0,0,0.00,2.05,2.05,0.00,2.05
Daniel Batz,de GER,GK,Saarbrücken,31,1991,38,38,"3,420",38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dominic Baumann,de GER,FW,Zwickau,27,1995,37,34,"2,747",30.5,14,1,15,13,1,1,2,0,0.46,0.03,0.49,0.43,0.46
Tom Baumgart,de GER,"MF,FW",Erzgebirge Aue,24,1997,15,6,529,5.9,2,0,2,2,0,0,3,0,0.34,0.00,0.34,0.34,0.34
Mika Baur,de GER,"MF,FW",SC Freiburg II,18,2004,21,15,"1,200",13.3,3,3,6,3,0,0,2,0,0.23,0.23,0.45,0.23,0.45
Bentley Baxter Bahn,de GER,MF,SV Waldhof,29,1992,36,35,"3,022",33.6,7,3,10,5,2,2,8,0,0.21,0.09,0.30,0.15,0.24
Tobias Bech,dk DEN,"MF,FW",Ingolstadt 04,20,2002,35,29,"2,644",29.4,13,5,18,12,1,1,5,0,0.44,0.17,0.61,0.41,0.58
André Becker,de GER,FW,Viktoria Köln,26,1996,27,12,"1,111",12.3,8,0,8,8,0,0,2,0,0.65,0.00,0.65,0.65,0.65
Dominik Becker,de GER,DF,Saarbrücken,22,2000,15,4,580,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Robin Becker,de GER,"DF,MF",Dresden,25,1997,13,5,590,6.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Timo Beermann,de GER,DF,Osnabrück,31,1990,33,33,"2,919",32.4,1,2,3,1,0,0,3,0,0.03,0.06,0.09,0.03,0.09
Morten Behrens,de GER,GK,SV Waldhof,25,1997,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Semi Belkahia,de GER,DF,1860 Munich,23,1998,21,13,"1,131",12.6,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08
Erich Berko,de GER,"FW,MF",Hallescher,27,1994,15,13,947,10.5,2,1,3,2,0,0,3,0,0.19,0.10,0.29,0.19,0.29
,,,,,,,,,,,,,,,,,,,,,,
Ron Berlinski,de GER,"FW,MF",Rot-Weiss Essen,27,1994,35,24,"2,172",24.1,7,2,9,7,0,0,4,0,0.29,0.08,0.37,0.29,0.37
Felix Bernd Wienand,de GER,GK,Rot-Weiss Essen,20,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aaron Berzel,de GER,DF,Verl,30,1992,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Paul-Philipp Besong,de GER,"FW,MF",Erzgebirge Aue,21,2000,31,10,"1,139",12.7,5,1,6,5,0,0,5,0,0.40,0.08,0.47,0.40,0.47
Julius Biada,de GER,FW,Saarbrücken,29,1992,14,2,309,3.4,1,1,2,1,0,1,4,0,0.29,0.29,0.58,0.29,0.58
Tom Bierschenk,de GER,FW,Hallescher,20,2002,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mateo Biondic,de GER,DF,Verl,19,2003,5,0,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Joshua Bitter,de GER,DF,MSV Duisburg,25,1997,29,23,"2,031",22.6,2,1,3,2,0,0,7,1,0.09,0.04,0.13,0.09,0.13
David Blacha,pl POL,MF,Meppen,31,1990,34,33,"2,672",29.7,2,3,5,2,0,0,6,0,0.07,0.10,0.17,0.07,0.17
Ben Bobzien,de GER,FW,Elversberg,19,2003,14,0,231,2.6,0,1,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39
Lukas Boeder,de GER,"DF,MF",Saarbrücken,25,1997,26,21,"1,944",21.6,1,1,2,1,0,0,1,0,0.05,0.05,0.09,0.05,0.09
Pelle Boevink,nl NED,GK,VfB Oldenburg,24,1998,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Andor Bolyki,de GER,FW,Hallescher,27,1994,28,9,999,11.1,3,2,5,3,0,0,6,0,0.27,0.18,0.45,0.27,0.45
Jakob Bookjans,de GER,"FW,MF",VfB Oldenburg,22,2000,24,4,644,7.2,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14
Elias Bördner,de GER,GK,Viktoria Köln,20,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dennis Borkowski,de GER,"FW,MF",Dresden,20,2002,30,23,"1,924",21.4,7,4,11,7,0,0,6,0,0.33,0.19,0.51,0.33,0.51
Timo Bornemann,de GER,FW,Dortmund II,21,2000,3,2,126,1.4,1,0,1,1,0,0,0,0,0.71,0.00,0.71,0.71,0.71
Boby Bossu,de GER,MF,Wehen,17,2005,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aziz Bouhaddouz,ma MAR,FW,MSV Duisburg,35,1987,27,12,"1,300",14.4,3,1,4,3,0,0,4,1,0.21,0.07,0.28,0.21,0.28
Joseph Boyamba,de GER,MF,1860 Munich,26,1996,33,21,"1,955",21.7,6,4,10,5,1,1,4,0,0.28,0.18,0.46,0.23,0.41
Jayden Braaf,nl NED,FW,Dortmund II,19,2002,7,3,266,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Calvin Brackelmann,de GER,DF,Ingolstadt 04,22,1999,28,25,"2,159",24.0,2,1,3,2,0,0,6,1,0.08,0.04,0.13,0.08,0.13
Rafael Brand,de GER,"MF,FW",VfB Oldenburg,27,1994,31,24,"1,938",21.5,4,4,8,4,0,0,4,0,0.19,0.19,0.37,0.19,0.37
Sandrino Braun,de GER,DF,SC Freiburg II,34,1988,19,5,492,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Maximilian Braune,de GER,GK,MSV Duisburg,19,2003,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Andy Breuer,de GER,MF,Saarbrücken,16,2005,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Maximilian Breunig,de GER,"MF,FW",SC Freiburg II,21,2000,17,5,531,5.9,3,0,3,2,1,1,3,0,0.51,0.00,0.51,0.34,0.34
Johannes Brinkies,de GER,GK,Zwickau,29,1993,30,30,"2,700",30.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Moritz Broschinski,de GER,"FW,MF",Dortmund II,21,2000,15,8,765,8.5,3,1,4,3,0,0,0,0,0.35,0.12,0.47,0.35,0.47
Lucas Brumme,de GER,"FW,MF",Wehen,22,1999,15,3,449,5.0,1,0,1,1,0,0,3,1,0.20,0.00,0.20,0.20,0.20
Daniel Buballa,de GER,DF,Viktoria Köln,32,1990,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Christopher Buchtmann,de GER,MF,VfB Oldenburg,30,1992,11,6,548,6.1,1,1,2,1,0,0,5,0,0.16,0.16,0.33,0.16,0.33
Guille Bueno,es ESP,"MF,DF",Dortmund II,19,2002,23,16,"1,508",16.8,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12
Korbinian Burger,de GER,DF,Erzgebirge Aue,27,1995,31,30,"2,727",30.3,1,0,1,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03
Leon Bürger,de GER,MF,Verl,22,1999,4,2,222,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Nishan Burkart,ch SUI,"FW,MF",SC Freiburg II,22,2000,4,3,219,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Justin Butler,de GER,"MF,FW",Ingolstadt 04,21,2001,29,10,"1,160",12.9,2,2,4,2,0,0,4,0,0.16,0.16,0.31,0.16,0.31
Nils Butzen,de GER,"DF,MF",Zwickau,29,1993,26,24,"2,100",23.3,0,1,1,0,0,0,5,1,0.00,0.04,0.04,0.00,0.04
Nico Carrera,us USA,DF,Zwickau,20,2002,9,6,606,6.7,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Florian Carstens,de GER,DF,Wehen,23,1998,23,18,"1,547",17.2,2,0,2,2,0,0,5,0,0.12,0.00,0.12,0.12,0.12
Aljaž Casar,si SVN,"MF,DF",Hallescher,21,2000,30,29,"2,431",27.0,1,3,4,1,0,0,10,1,0.04,0.11,0.15,0.04,0.15
Paterson Chato,de GER,"MF,DF",Osnabrück,25,1996,29,9,971,10.8,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09
