Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Tim Civeja,al ALB,MF,Ingolstadt 04,20,2002,13,6,648,7.2,2,0,2,2,0,0,1,0,0.28,0.00,0.28,0.28,0.28
Milos Cocic,rs SRB,MF,1860 Munich,19,2003,4,1,106,1.2,1,0,1,1,0,0,0,0,0.85,0.00,0.85,0.85,0.85
Nnamdi Collins,de GER,DF,Dortmund II,18,2004,8,7,598,6.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Kevin Conrad,de GER,DF,Elversberg,31,1990,14,12,"1,146",12.7,1,1,2,1,0,0,5,1,0.08,0.08,0.16,0.08,0.16
Christian Conteh,de GER,"FW,MF",Dresden,22,1999,26,25,"1,764",19.6,3,2,5,3,0,0,8,0,0.15,0.10,0.26,0.15,0.26
Mael Corboz,us USA,MF,Verl,27,1994,37,37,"3,330",37.0,5,2,7,5,0,1,7,0,0.14,0.05,0.19,0.14,0.19
Marcel Correia,pt POR,DF,Elversberg,33,1989,30,29,"2,482",27.6,4,1,5,4,0,0,5,0,0.15,0.04,0.18,0.15,0.18
Can Coskun,de GER,"DF,MF",Zwickau,24,1998,24,13,"1,074",11.9,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Marcel Costly,de GER,"DF,MF",Ingolstadt 04,26,1995,33,33,"2,859",31.8,2,9,11,2,0,0,7,0,0.06,0.28,0.35,0.06,0.35
Soumaïla Coulibaly,fr FRA,DF,Dortmund II,18,2003,16,16,"1,252",13.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Marvin Cuni,al ALB,"FW,MF",Saarbrücken,21,2001,32,17,"1,674",18.6,9,4,13,8,1,1,4,0,0.48,0.22,0.70,0.43,0.65
Eros Dacaj,de GER,MF,Elversberg,25,1996,14,0,161,1.8,1,0,1,0,1,1,0,0,0.56,0.00,0.56,0.00,0.00
Koray Dag,de GER,FW,Verl,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Leon Damer,de GER,"MF,FW",Hallescher,22,2000,21,12,"1,005",11.2,0,3,3,0,0,0,5,0,0.00,0.27,0.27,0.00,0.27
Niklas Dams,de GER,DF,Dortmund II,32,1990,35,32,"2,917",32.4,2,0,2,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06
Tim Danhof,de GER,"DF,MF",Erzgebirge Aue,25,1997,31,27,"2,504",27.8,1,2,3,1,0,0,5,0,0.04,0.07,0.11,0.04,0.11
Leon Deichmann,de GER,DF,VfB Oldenburg,25,1997,28,23,"2,104",23.4,2,0,2,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09
Yannick Deichmann,de GER,"MF,DF",1860 Munich,27,1994,34,33,"2,791",31.0,4,4,8,4,0,0,6,0,0.13,0.13,0.26,0.13,0.26
Tunay Deniz,de GER,MF,Hallescher,28,1994,32,22,"2,003",22.3,7,2,9,7,0,0,9,2,0.31,0.09,0.40,0.31,0.40
Agyemang Diawusie,de GER,MF,SpVgg Bayreuth,24,1998,17,6,626,7.0,1,2,3,1,0,0,2,0,0.14,0.29,0.43,0.14,0.43
Lars Dietz,de GER,DF,Viktoria Köln,25,1997,28,26,"2,285",25.4,1,0,1,1,0,0,10,1,0.04,0.00,0.04,0.04,0.04
Max Dittgen,de GER,"FW,MF",Ingolstadt 04,27,1995,5,4,346,3.8,1,0,1,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26
Erik Domaschke,de GER,GK,Meppen,36,1985,17,17,"1,530",17.0,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06
Max Dombrowka,de GER,"DF,MF",Meppen,30,1992,33,32,"2,807",31.2,1,4,5,1,0,0,8,0,0.03,0.13,0.16,0.03,0.16
Johannes Dörfler,de GER,DF,SV Waldhof,25,1996,3,0,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Felix Dornebusch,de GER,GK,VfB Oldenburg,28,1994,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Moussa Doumbouya,gn GUI,"FW,MF",Ingolstadt 04,24,1998,31,18,"1,701",18.9,4,6,10,4,0,0,4,0,0.21,0.32,0.53,0.21,0.53
Stefan Drljača,de GER,GK,Dresden,23,1999,34,34,"3,060",34.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Luca Dürholtz,de GER,MF,Rot-Weiss Essen,28,1993,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Luca Dürholtz,de GER,MF,Elversberg,28,1993,28,14,"1,378",15.3,1,0,1,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07
Michael Eberwein,de GER,"MF,FW",Dortmund II,26,1996,31,28,"2,477",27.5,2,4,6,2,0,0,4,0,0.07,0.15,0.22,0.07,0.22
Jesse Edem Tugbenyo,de GER,"FW,MF",Verl,20,2001,17,9,865,9.6,1,4,5,1,0,0,1,0,0.10,0.42,0.52,0.10,0.52
Steffen Eder,de GER,DF,SpVgg Bayreuth,25,1997,15,13,"1,152",12.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Kevin Ehlers,de GER,"DF,MF",Dresden,21,2001,20,10,986,11.0,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09
Noel Eichinger,de GER,"FW,MF",Zwickau,20,2001,27,13,"1,290",14.3,2,2,4,2,0,0,2,0,0.14,0.14,0.28,0.14,0.28
Thomas Eisfeld,de GER,MF,Rot-Weiss Essen,29,1993,26,19,"1,576",17.5,2,2,4,2,0,0,2,0,0.11,0.11,0.23,0.11,0.23
Lukas Eixler,de GER,MF,Meppen,18,2003,8,1,163,1.8,1,0,1,1,0,0,2,0,0.55,0.00,0.55,0.55,0.55
Chinedu Ekene,de GER,"FW,MF",MSV Duisburg,23,1999,23,11,"1,151",12.8,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08
Baris Ekincier,az AZE,"MF,FW",SV Waldhof,23,1999,21,7,796,8.8,3,0,3,3,0,0,2,0,0.34,0.00,0.34,0.34,0.34
Rodney Elongo-Yombo,de GER,"MF,DF",Dortmund II,21,2001,24,6,665,7.4,1,0,1,1,0,0,2,1,0.14,0.00,0.14,0.14,0.14
Nassim Elouarti,de GER,MF,Wehen,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Erik Engelhardt,de GER,"FW,MF",Osnabrück,24,1998,32,27,"2,415",26.8,11,5,16,11,0,0,6,0,0.41,0.19,0.60,0.41,0.60
Marcel Engelhardt,de GER,GK,Zwickau,29,1993,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Yannik Engelhardt,de GER,"MF,DF",SC Freiburg II,21,2001,25,24,"2,170",24.1,2,1,3,2,0,0,5,1,0.08,0.04,0.12,0.08,0.12
Simon Engelmann,de GER,FW,Rot-Weiss Essen,33,1989,26,17,"1,676",18.6,7,5,12,5,2,2,3,0,0.38,0.27,0.64,0.27,0.54
Lawrence Ennali,de GER,"MF,FW",Rot-Weiss Essen,20,2002,34,22,"2,011",22.3,3,1,4,3,0,0,7,0,0.13,0.04,0.18,0.13,0.18
Aday Ercan,de GER,MF,Dortmund II,21,2000,4,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dominik Ernst,de GER,"MF,DF",Saarbrücken,31,1990,15,9,853,9.5,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11
Willi Evseev,de GER,MF,Meppen,30,1992,10,6,456,5.1,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20
Brooklyn Ezeh,de GER,"MF,DF",Wehen,21,2001,33,32,"2,757",30.6,2,5,7,2,0,0,10,0,0.07,0.16,0.23,0.07,0.23
Cottrell Ezekwem,de GER,DF,Verl,23,1999,5,0,63,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Kimberly Ezekwem,de GER,DF,SC Freiburg II,21,2001,16,11,969,10.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Simon Fabio Stehle,de GER,"FW,MF",Viktoria Köln,20,2001,28,14,"1,232",13.7,4,1,5,4,0,0,2,0,0.29,0.07,0.37,0.29,0.37
Philip Fahrner,de GER,"MF,DF",SC Freiburg II,19,2003,27,16,"1,481",16.5,2,1,3,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18
Clemens Fandrich,de GER,MF,Rot-Weiss Essen,31,1991,23,12,"1,074",11.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Amin Farouk,de GER,MF,Wehen,19,2003,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Morgan Faßbender,de GER,"MF,FW",Meppen,23,1998,28,13,"1,432",15.9,2,4,6,2,0,0,4,0,0.13,0.25,0.38,0.13,0.38
Gino Fechner,de GER,"MF,DF",Wehen,24,1997,29,20,"1,842",20.5,1,1,2,1,0,0,5,0,0.05,0.05,0.10,0.05,0.10
,,,,,,,,,,,,,,,,,,,,,,
Jonas Fedl,de GER,DF,Meppen,23,1999,18,18,"1,550",17.2,1,0,1,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06
Mike Feigenspan,de GER,FW,Meppen,26,1995,9,1,242,2.7,0,1,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37
Manuel Feil,de GER,MF,Elversberg,27,1994,38,38,"3,039",33.8,7,10,17,7,0,0,4,0,0.21,0.30,0.50,0.21,0.50
Robin Fellhauer,de GER,DF,Elversberg,24,1998,32,32,"2,777",30.9,4,5,9,4,0,0,6,0,0.13,0.16,0.29,0.13,0.29
Rolf Feltscher,ve VEN,"DF,MF",MSV Duisburg,31,1990,17,10,902,10.0,2,0,2,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20
Christoph Fenninger,de GER,"FW,MF",SpVgg Bayreuth,27,1995,27,7,881,9.8,5,0,5,5,0,0,6,0,0.51,0.00,0.51,0.51,0.51
Bradley Fink,ch SUI,FW,Dortmund II,19,2003,4,4,305,3.4,1,0,1,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30
Kolbeinn Finnsson,is ISL,DF,Dortmund II,22,1999,13,11,964,10.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Tobias Fleckstein,de GER,DF,MSV Duisburg,23,1999,20,15,"1,332",14.8,2,0,2,2,0,0,6,1,0.14,0.00,0.14,0.14,0.14
Dominik Franke,de GER,"DF,MF",Ingolstadt 04,23,1998,30,25,"2,200",24.4,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Mike Frantz,de GER,"MF,DF",Saarbrücken,35,1986,14,5,489,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alexander Freitag,de GER,MF,1860 Munich,23,1999,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marlon Frey,de GER,MF,MSV Duisburg,26,1996,33,26,"2,081",23.1,1,3,4,1,0,0,3,1,0.04,0.13,0.17,0.04,0.17
Davy Frick,de GER,"DF,MF",Zwickau,32,1990,34,32,"2,878",32.0,1,1,2,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06
Moritz Fritz,de GER,"DF,MF",Viktoria Köln,29,1993,32,28,"2,524",28.0,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00
Kianz Froese,ca CAN,"FW,MF",Wehen,26,1996,33,13,"1,350",15.0,6,4,10,4,2,2,2,0,0.40,0.27,0.67,0.27,0.53
Seymour Fünger,de GER,DF,Hallescher,20,2002,9,1,173,1.9,1,0,1,1,0,0,1,0,0.52,0.00,0.52,0.52,0.52
Marius Funk,de GER,GK,Ingolstadt 04,26,1996,36,36,"3,240",36.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Guillerme Furrer,ch SUI,FW,SC Freiburg II,21,2001,11,0,222,2.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Bruno Gabriel Soares,br BRA,DF,Meppen,33,1988,13,13,981,10.9,2,0,2,2,0,0,4,0,0.18,0.00,0.18,0.18,0.18
Marcel Gaus,de GER,"MF,DF",Saarbrücken,32,1989,14,9,844,9.4,2,2,4,2,0,0,3,1,0.21,0.21,0.43,0.21,0.43
Timur Gayret,de GER,MF,Hallescher,23,1998,32,15,"1,531",17.0,2,4,6,2,0,0,1,0,0.12,0.24,0.35,0.12,0.35
Felix Gebhardt,de GER,GK,Hallescher,20,2002,36,36,"3,240",36.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Jann George,us USA,"FW,MF",SpVgg Bayreuth,30,1992,19,13,"1,131",12.6,3,2,5,3,0,0,3,0,0.24,0.16,0.40,0.24,0.40
