Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Enzo Millot,fr FRA,MF,Stuttgart,19,2002,6,0,53,0.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,2,0.00,1.70,1.70,0.00,1.70,0.00,0.25,0.25,0.00,0.25
Maximilian Mittelstädt,de GER,"DF,FW",Hertha BSC,24,1997,24,16,"1,493",16.6,0,5,5,0,0,0,3,0,0.3,0.3,2.9,3.2,45,65,79,0.00,0.30,0.30,0.00,0.30,0.02,0.18,0.19,0.02,0.19
Anthony Modeste,fr FRA,FW,Köln,33,1988,32,31,"2,606",29.0,20,4,24,19,1,1,4,0,18.0,17.2,2.9,20.2,11,29,143,0.69,0.14,0.83,0.66,0.79,0.62,0.10,0.72,0.60,0.70
Kevin Möhwald,de GER,MF,Union Berlin,28,1993,16,3,354,3.9,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.1,5,25,13,0.00,0.00,0.00,0.00,0.00,0.15,0.14,0.29,0.15,0.29
Clinton Mola,eng ENG,DF,Stuttgart,20,2001,3,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jan Morávek,cz CZE,MF,Augsburg,31,1989,17,5,471,5.2,0,0,0,0,0,0,1,0,1.0,1.0,0.4,1.4,2,14,9,0.00,0.00,0.00,0.00,0.00,0.19,0.08,0.27,0.19,0.27
Ilaix Moriba,gn GUI,MF,RB Leipzig,18,2003,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Youssoufa Moukoko,de GER,"FW,MF",Dortmund,16,2004,16,1,223,2.5,2,0,2,2,0,0,1,0,1.5,1.5,0.1,1.7,2,4,14,0.81,0.00,0.81,0.81,0.81,0.61,0.06,0.67,0.61,0.67
Nordi Mukiele,fr FRA,"DF,FW",RB Leipzig,23,1997,28,21,"1,842",20.5,1,3,4,1,0,0,3,0,1.9,1.9,3.5,5.4,26,76,100,0.05,0.15,0.20,0.05,0.20,0.09,0.17,0.27,0.09,0.27
Florian Müller,de GER,GK,Stuttgart,23,1997,30,30,"2,700",30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thomas Müller,de GER,MF,Bayern Munich,31,1989,32,32,"2,558",28.4,8,18,26,8,0,0,0,0,10.5,10.5,12.7,23.2,46,155,301,0.28,0.63,0.91,0.28,0.91,0.37,0.45,0.81,0.37,0.81
Torben Müsel,de GER,MF,Gladbach,22,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jamal Musiala,de GER,"MF,FW",Bayern Munich,18,2003,30,12,"1,465",16.3,5,5,10,5,0,0,2,0,4.1,4.1,4.9,9.0,55,95,137,0.31,0.31,0.61,0.31,0.61,0.25,0.30,0.55,0.25,0.55
Obite N'Dicka,ci CIV,DF,Eint Frankfurt,21,1999,32,32,"2,857",31.7,4,4,8,4,0,0,3,0,2.6,2.6,1.5,4.1,37,114,11,0.13,0.13,0.25,0.13,0.25,0.08,0.05,0.13,0.08,0.13
Nikolas Nartey,dk DEN,"MF,DF",Stuttgart,21,2000,8,4,404,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,3,16,23,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Paul Nebel,de GER,"MF,FW",Mainz 05,18,2002,10,2,228,2.5,0,1,1,0,0,0,3,0,0.5,0.5,0.3,0.8,2,5,14,0.00,0.39,0.39,0.00,0.39,0.19,0.14,0.33,0.19,0.33
David Nemeth,at AUT,DF,Mainz 05,20,2001,6,2,311,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luca Netz,de GER,"DF,FW",Gladbach,18,2003,24,17,"1,396",15.5,0,4,4,0,0,0,1,0,2.1,2.1,1.2,3.3,13,24,67,0.00,0.26,0.26,0.00,0.26,0.14,0.08,0.22,0.14,0.22
Manuel Neuer,de GER,GK,Bayern Munich,35,1986,28,28,"2,510",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florian Neuhaus,de GER,MF,Gladbach,24,1997,29,24,"2,121",23.6,4,4,8,4,0,0,2,0,4.9,4.9,2.2,7.1,48,133,58,0.17,0.17,0.34,0.17,0.34,0.22,0.10,0.31,0.22,0.31
Jessic Ngankam,de GER,FW,Greuther Fürth,21,2000,6,4,341,3.8,2,1,3,2,0,0,0,0,1.8,1.8,0.2,1.9,4,2,11,0.53,0.26,0.79,0.53,0.79,0.47,0.04,0.51,0.47,0.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa Niakhate,sn SEN,DF,Mainz 05,25,1996,30,29,"2,567",28.5,4,0,4,2,2,2,1,0,3.9,2.3,0.5,2.9,27,112,14,0.14,0.00,0.14,0.07,0.07,0.14,0.02,0.16,0.08,0.10
Tanguy Nianzou,fr FRA,DF,Bayern Munich,19,2002,17,6,582,6.5,1,1,2,1,0,0,4,0,0.4,0.4,1.5,1.9,6,41,3,0.15,0.15,0.31,0.15,0.31,0.06,0.23,0.29,0.06,0.29
Florian Niederlechner,de GER,FW,Augsburg,30,1990,26,13,"1,165",12.9,5,3,8,5,0,0,1,0,5.0,5.0,0.7,5.7,15,19,49,0.39,0.23,0.62,0.39,0.62,0.39,0.06,0.45,0.39,0.45
Håvard Nielsen,no NOR,"MF,FW",Greuther Fürth,28,1993,26,14,"1,367",15.2,2,0,2,2,0,0,2,0,2.0,2.0,0.1,2.1,21,43,76,0.13,0.00,0.13,0.13,0.13,0.13,0.01,0.14,0.13,0.14
Joakim Nilsson,se SWE,DF,Arminia,27,1994,31,31,"2,735",30.4,2,0,2,2,0,0,5,0,0.4,0.4,0.3,0.8,12,68,2,0.07,0.00,0.07,0.07,0.07,0.01,0.01,0.03,0.01,0.03
Christopher Nkunku,fr FRA,"FW,MF",RB Leipzig,23,1997,34,31,"2,723",30.3,20,13,33,19,1,1,2,0,16.1,15.3,9.7,25.0,100,117,284,0.66,0.43,1.09,0.63,1.06,0.53,0.32,0.85,0.51,0.83
Felix Nmecha,de GER,"MF,FW",Wolfsburg,20,2000,16,1,323,3.6,0,0,0,0,0,0,2,0,0.8,0.8,0.0,0.8,11,13,22,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22
Lukas Nmecha,de GER,"FW,MF",Wolfsburg,22,1998,25,18,"1,627",18.1,8,0,8,8,0,0,5,0,8.8,8.8,2.1,10.8,32,25,130,0.44,0.00,0.44,0.44,0.44,0.49,0.11,0.60,0.49,0.60
Håvard Nordtveit,no NOR,DF,Hoffenheim,31,1990,11,1,304,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,25,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Connor Noß,ie IRL,MF,Gladbach,20,2001,3,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,0,4,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Hugo Novoa,es ESP,"MF,FW",RB Leipzig,18,2003,8,1,136,1.5,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,3,3,19,0.66,0.00,0.66,0.66,0.66,0.63,0.15,0.78,0.63,0.78
Soma Novothny,hu HUN,"FW,MF",Bochum,27,1994,6,0,80,0.9,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,1,2,6,1.13,0.00,1.13,1.13,1.13,0.71,0.00,0.71,0.71,0.71
Kasim Nuhu,gh GHA,DF,Hoffenheim,26,1995,3,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.96,0.96,0.96
Hans Nunoo Sarpei,gh GHA,"DF,MF",Greuther Fürth,22,1998,8,7,643,7.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,16,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Bastian Oczipka,de GER,DF,Union Berlin,32,1989,18,9,932,10.4,0,1,1,0,0,0,1,0,0.3,0.3,2.1,2.4,21,47,35,0.00,0.10,0.10,0.00,0.10,0.03,0.20,0.23,0.03,0.23
Masaya Okugawa,jp JPN,"MF,FW",Arminia,25,1996,33,30,"2,531",28.1,8,1,9,8,0,0,0,0,3.9,3.9,1.4,5.3,40,47,121,0.28,0.04,0.32,0.28,0.32,0.14,0.05,0.19,0.14,0.19
Mathias Olesen,lu LUX,"MF,FW",Köln,20,2001,3,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28
Dani Olmo,es ESP,"MF,FW",RB Leipzig,23,1998,19,7,743,8.3,3,3,6,3,0,0,2,0,1.9,1.9,2.6,4.4,15,53,55,0.36,0.36,0.73,0.36,0.73,0.23,0.31,0.54,0.23,0.54
Karim Onisiwo,at AUT,FW,Mainz 05,29,1992,31,28,"2,361",26.2,5,8,13,5,0,0,0,0,8.2,8.2,6.6,14.8,82,51,237,0.19,0.30,0.50,0.19,0.50,0.31,0.25,0.57,0.31,0.57
Willi Orban,hu HUN,DF,RB Leipzig,28,1992,30,30,"2,642",29.4,2,1,3,2,0,0,1,0,2.8,2.8,1.4,4.2,8,89,7,0.07,0.03,0.10,0.07,0.10,0.10,0.05,0.14,0.10,0.14
Stefan Ortega,de GER,GK,Arminia,28,1992,33,33,"2,970",33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Patrick Osterhage,de GER,MF,Bochum,21,2000,13,6,599,6.7,0,1,1,0,0,0,2,0,0.3,0.3,0.1,0.4,2,11,19,0.00,0.15,0.15,0.00,0.15,0.05,0.01,0.07,0.05,0.07
Tomáš Ostrák,cz CZE,"MF,FW",Köln,21,2000,5,0,31,0.3,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,3,3,0.00,2.90,2.90,0.00,2.90,0.06,1.69,1.75,0.06,1.75
Paulo Otávio,br BRA,"DF,MF",Wolfsburg,26,1994,7,5,362,4.0,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,18,16,28,0.00,0.25,0.25,0.00,0.25,0.06,0.15,0.21,0.06,0.21
Reece Oxford,eng ENG,DF,Augsburg,22,1998,30,30,"2,693",29.9,2,1,3,2,0,0,9,0,2.2,2.2,0.7,2.9,10,41,2,0.07,0.03,0.10,0.07,0.10,0.07,0.02,0.10,0.07,0.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salih Özcan,tr TUR,MF,Köln,23,1998,31,26,"2,312",25.7,2,0,2,2,0,0,5,0,1.9,1.9,1.0,2.9,39,113,47,0.08,0.00,0.08,0.08,0.08,0.08,0.04,0.11,0.08,0.11
Levin Öztunalı,de GER,MF,Union Berlin,25,1996,18,5,572,6.4,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.1,8,18,37,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.18,0.11,0.18
Gonçalo Paciência,pt POR,FW,Eint Frankfurt,26,1994,18,4,516,5.7,3,0,3,2,1,2,3,0,3.5,1.9,0.2,2.1,7,18,43,0.52,0.00,0.52,0.35,0.35,0.61,0.03,0.63,0.33,0.36
Exequiel Palacios,ar ARG,MF,Leverkusen,22,1998,23,12,"1,097",12.2,2,2,4,2,0,0,2,0,0.8,0.8,2.2,2.9,10,77,17,0.16,0.16,0.33,0.16,0.33,0.06,0.18,0.24,0.06,0.24
Miloš Pantović,rs SRB,"MF,FW",Bochum,25,1996,28,18,"1,533",17.0,4,3,7,3,1,1,2,0,6.0,5.2,3.9,9.1,21,45,82,0.23,0.18,0.41,0.18,0.35,0.35,0.23,0.58,0.31,0.54
Antonios Papadopoulos,de GER,"DF,MF",Dortmund,21,1999,2,0,17,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matondo-Merveille Papela,de GER,MF,Mainz 05,20,2001,5,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Kevin Paredes,us USA,"FW,DF",Wolfsburg,18,2003,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Felix Passlack,de GER,DF,Dortmund,23,1998,10,5,472,5.2,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.4,13,23,28,0.19,0.00,0.19,0.19,0.19,0.03,0.04,0.07,0.03,0.07
Paulinho,br BRA,"FW,MF",Leverkusen,21,2000,24,14,"1,218",13.5,4,1,5,4,0,0,1,0,4.1,4.1,2.1,6.2,58,43,121,0.30,0.07,0.37,0.30,0.37,0.30,0.15,0.46,0.30,0.46
Benjamin Pavard,fr FRA,DF,Bayern Munich,25,1996,25,24,"2,076",23.1,0,1,1,0,0,0,2,1,0.7,0.7,1.6,2.3,50,193,91,0.00,0.04,0.04,0.00,0.04,0.03,0.07,0.10,0.03,0.10
Mads Pedersen,dk DEN,"MF,DF",Augsburg,24,1996,29,15,"1,391",15.5,2,1,3,2,0,0,5,0,1.1,1.1,1.7,2.8,25,34,46,0.13,0.06,0.19,0.13,0.19,0.07,0.11,0.18,0.07,0.18
Peter Pekarík,sk SVK,DF,Hertha BSC,34,1986,27,26,"2,234",24.8,0,0,0,0,0,0,1,0,0.8,0.8,0.8,1.6,40,69,69,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
Philipp Pentke,de GER,GK,Hoffenheim,36,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ricardo Pepi,us USA,"FW,MF",Augsburg,18,2003,11,4,477,5.3,0,0,0,0,0,0,0,0,0.8,0.8,0.6,1.5,1,4,27,0.00,0.00,0.00,0.00,0.00,0.16,0.12,0.28,0.16,0.28
Pavao Pervan,at AUT,GK,Wolfsburg,33,1987,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nils Petersen,de GER,FW,Freiburg,32,1988,22,3,580,6.4,5,1,6,5,0,0,0,0,2.5,2.5,0.5,3.0,4,9,30,0.78,0.16,0.93,0.78,0.93,0.39,0.07,0.47,0.39,0.47
Jens Petter Hauge,no NOR,"MF,FW",Eint Frankfurt,21,1999,26,9,"1,040",11.6,2,2,4,2,0,0,4,0,2.0,2.0,0.8,2.8,21,35,78,0.17,0.17,0.35,0.17,0.35,0.18,0.07,0.24,0.18,0.24
Immanuel Pherai,sr SUR,MF,Dortmund,20,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximilian Philipp,de GER,MF,Wolfsburg,27,1994,22,12,963,10.7,1,4,5,1,0,0,2,0,1.2,1.2,1.0,2.2,11,32,65,0.09,0.37,0.47,0.09,0.47,0.11,0.09,0.21,0.11,0.21
Krzysztof Piątek,pl POL,FW,Hertha BSC,26,1995,9,4,347,3.9,1,0,1,1,0,0,0,0,1.8,1.8,0.0,1.8,4,6,23,0.26,0.00,0.26,0.26,0.26,0.46,0.00,0.46,0.46,0.46
Amos Pieper,de GER,DF,Arminia,23,1998,27,27,"2,379",26.4,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,7,63,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Marvin Plattenhardt,de GER,DF,Hertha BSC,29,1992,21,19,"1,637",18.2,0,3,3,0,0,0,3,0,0.5,0.5,4.3,4.8,32,55,37,0.00,0.16,0.16,0.00,0.16,0.03,0.24,0.26,0.03,0.26
