Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ba-Muaka Simakala,cg CGO,"MF,FW",Holstein Kiel,26,1997,11,2,322,3.6,0,0,0,0,0,0,2,0,0.9,0.9,0.4,1.3,6,12,20,0.00,0.00,0.00,0.00,0.00,0.24,0.12,0.36,0.24,0.36
Ba-Muaka Simakala,cg CGO,"MF,FW",Kaiserslautern,26,1997,7,0,116,1.3,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.6,3,4,4,0.78,0.00,0.78,0.78,0.78,0.43,0.05,0.48,0.43,0.48
Danel Sinani,lu LUX,"FW,MF",St. Pauli,26,1997,7,0,138,1.5,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,2,7,8,0.65,0.00,0.65,0.65,0.65,0.12,0.03,0.15,0.12,0.15
Sarpreet Singh,nz NZL,"MF,FW",Hansa Rostock,24,1999,15,4,425,4.7,1,0,1,1,0,0,1,1,0.5,0.5,0.9,1.4,8,14,23,0.21,0.00,0.21,0.21,0.21,0.10,0.19,0.29,0.10,0.29
Steven Skrzybski,de GER,"MF,FW",Holstein Kiel,30,1992,26,23,"1,717",19.1,10,4,14,7,3,4,2,0,9.1,6.0,2.7,8.7,40,61,108,0.52,0.21,0.73,0.37,0.58,0.48,0.14,0.62,0.31,0.46
Eric Smith,se SWE,"DF,MF",St. Pauli,26,1997,26,26,"2,238",24.9,1,3,4,1,0,0,7,0,1.3,1.3,1.2,2.5,12,145,11,0.04,0.12,0.16,0.04,0.16,0.05,0.05,0.10,0.05,0.10
Marcel Sobottka,de GER,MF,Düsseldorf,29,1994,13,7,643,7.1,0,2,2,0,0,0,3,0,0.5,0.5,0.9,1.4,5,34,15,0.00,0.28,0.28,0.00,0.28,0.07,0.12,0.19,0.07,0.19
Nikola Soldo,hr CRO,"DF,MF",Kaiserslautern,22,2001,15,9,853,9.5,0,0,0,0,0,0,4,0,0.5,0.5,0.1,0.6,7,33,4,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07
Brandon Soppy,fr FRA,DF,Schalke 04,21,2002,5,4,319,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,11,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06
Dennis Srbeny,de GER,"FW,MF",Greuther Fürth,29,1994,32,9,998,11.1,1,4,5,1,0,0,2,0,2.5,2.5,1.6,4.1,9,40,76,0.09,0.36,0.45,0.09,0.45,0.23,0.14,0.37,0.23,0.37
Kostas Stafylidis,gr GRE,"DF,MF",Hansa Rostock,29,1993,11,7,585,6.5,0,1,1,0,0,0,4,0,0.2,0.2,0.3,0.4,2,36,3,0.00,0.15,0.15,0.00,0.15,0.02,0.04,0.06,0.02,0.06
Jonas Sterner,de GER,DF,Holstein Kiel,21,2002,16,5,518,5.8,2,0,2,2,0,0,1,0,1.1,1.1,0.4,1.5,14,16,26,0.35,0.00,0.35,0.35,0.35,0.19,0.08,0.27,0.19,0.27
Lars Stindl,de GER,"MF,FW",Karlsruher,34,1988,24,17,"1,514",16.8,4,4,8,4,0,0,3,0,4.6,4.6,2.8,7.4,15,92,95,0.24,0.24,0.48,0.24,0.48,0.27,0.17,0.44,0.27,0.44
Paul Stock,de GER,"MF,FW",Elversberg,26,1997,29,24,"1,966",21.8,6,5,11,6,0,0,4,0,4.7,4.7,3.9,8.6,35,119,95,0.27,0.23,0.50,0.27,0.50,0.22,0.18,0.39,0.22,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Stojilković,ch SUI,"FW,MF",Kaiserslautern,23,2000,6,0,156,1.7,1,0,1,1,0,0,1,0,0.9,0.9,0.0,0.9,0,2,4,0.58,0.00,0.58,0.58,0.58,0.53,0.01,0.54,0.53,0.54
John-Patrick Strauß,ph PHI,DF,Hansa Rostock,27,1996,15,8,788,8.8,1,0,1,1,0,0,3,0,0.6,0.6,1.0,1.5,9,22,29,0.11,0.00,0.11,0.11,0.11,0.06,0.11,0.17,0.06,0.17
Florian Stritzel,de GER,GK,Wehen,29,1994,34,34,"3,060",34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Klaus Suso,de GER,"DF,MF",Düsseldorf,18,2005,3,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Haris Tabakovic,ba BIH,FW,Hertha BSC,29,1994,32,29,"2,560",28.4,22,6,28,18,4,5,2,0,22.4,18.5,4.8,23.3,26,49,127,0.77,0.21,0.98,0.63,0.84,0.79,0.17,0.96,0.65,0.82
Richmond Tachie,de GER,"FW,MF",Kaiserslautern,24,1999,28,23,"1,761",19.6,3,6,9,3,0,0,1,0,3.5,3.5,2.6,6.1,33,21,146,0.15,0.31,0.46,0.15,0.46,0.18,0.13,0.31,0.18,0.31
Emanuel Taffertshofer,de GER,MF,Wehen,28,1995,7,0,122,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,0,15,1,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
Ao Tanaka,jp JPN,MF,Düsseldorf,24,1998,30,24,"2,259",25.1,7,3,10,7,0,0,3,0,4.4,4.4,2.5,7.0,34,142,75,0.28,0.12,0.40,0.28,0.40,0.18,0.10,0.28,0.18,0.28
Anssi Tapio Suhonen,fi FIN,MF,Hamburger SV,22,2001,13,2,258,2.9,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,18,16,30,0.00,0.35,0.35,0.00,0.35,0.10,0.07,0.17,0.10,0.17
Niklas Tauer,de GER,MF,Braunschweig,22,2001,16,4,561,6.2,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.7,7,17,6,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11
