Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
André Barbosa,ch SUI,"DF,MF",SC Freiburg II,20,2000,10,8,621,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jan-Christoph Bartels,de GER,GK,SV Waldhof,22,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Daniel Batz,de GER,GK,Saarbrücken,30,1991,36,36,"3,240",36.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Dominic Baumann,de GER,"FW,MF",Zwickau,26,1995,30,24,"1,833",20.4,11,1,12,11,0,0,3,0,0.54,0.05,0.59,0.54,0.59
Mika Baur,de GER,"FW,MF",SC Freiburg II,17,2004,9,4,450,5.0,1,0,1,1,0,0,3,0,0.20,0.00,0.20,0.20,0.20
Alexander Bazdrigiannis,de GER,FW,SC Freiburg II,19,2002,4,0,52,0.6,0,1,1,0,0,0,0,0,0.00,1.73,1.73,0.00,1.73
André Becker,de GER,FW,W'burg Kickers,25,1996,6,5,357,4.0,2,0,2,2,0,0,1,0,0.50,0.00,0.50,0.50,0.50
Dominik Becker,de GER,DF,Saarbrücken,21,2000,8,8,621,6.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Yannis Becker,de GER,MF,Viktoria 1889,30,1991,13,13,"1,168",13.0,1,2,3,1,0,0,2,1,0.08,0.15,0.23,0.08,0.23
Timo Beermann,de GER,DF,Osnabrück,30,1990,22,19,"1,695",18.8,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05
Brian Behrendt,de GER,DF,Braunschweig,29,1991,33,30,"2,741",30.5,1,0,1,1,0,0,8,1,0.03,0.00,0.03,0.03,0.03
Semi Belkahia,de GER,DF,1860 Munich,22,1998,25,22,"1,868",20.8,2,0,2,2,0,0,8,0,0.10,0.00,0.10,0.10,0.10
Leon Bell Bell,cm CMR,"DF,MF",Magdeburg,24,1996,31,28,"2,306",25.6,3,4,7,3,0,0,5,0,0.12,0.16,0.27,0.12,0.27
Daniel Benke,de GER,MF,Meppen,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Soufian Benyamina,de GER,FW,Viktoria 1889,31,1990,22,11,"1,083",12.0,5,0,5,5,0,0,4,0,0.42,0.00,0.42,0.42,0.42
Ron Berlinski,de GER,FW,Verl,26,1994,24,13,"1,026",11.4,10,3,13,10,0,0,4,0,0.88,0.26,1.14,0.88,1.14
Sören Bertram,de GER,"FW,MF",Osnabrück,30,1991,22,7,658,7.3,2,0,2,2,0,0,0,0,0.27,0.00,0.27,0.27,0.27
Aaron Berzel,de GER,DF,Verl,29,1992,12,9,762,8.5,1,0,1,1,0,0,6,0,0.12,0.00,0.12,0.12,0.12
Aaron Berzel,de GER,DF,Viktoria Köln,29,1992,8,5,467,5.2,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Deji Beyreuther,de GER,"MF,DF",Viktoria 1889,21,1999,6,4,413,4.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Merveille Biankadi,cd COD,"MF,FW",1860 Munich,26,1995,33,28,"2,333",25.9,9,6,15,9,0,0,1,0,0.35,0.23,0.58,0.35,0.58
Tom Bierschenk,de GER,FW,Hallescher,19,2002,6,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alexander Bittroff,de GER,DF,Magdeburg,32,1988,27,26,"2,134",23.7,2,2,4,2,0,0,7,0,0.08,0.08,0.17,0.08,0.17
David Blacha,pl POL,"MF,FW",Meppen,30,1990,28,28,"2,165",24.1,2,1,3,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12
Lukas Boeder,de GER,DF,Saarbrücken,24,1997,26,24,"2,209",24.5,2,0,2,2,0,0,3,0,0.08,0.00,0.08,0.08,0.08
Hendrik Bonmann,de GER,GK,W'burg Kickers,27,1994,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Elias Bördner,de GER,GK,Viktoria Köln,19,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Timo Bornemann,de GER,"FW,DF",Dortmund II,20,2000,21,6,686,7.6,2,1,3,2,0,0,0,0,0.26,0.13,0.39,0.26,0.39
Sebastian Bösel,de GER,MF,Hallescher,26,1994,6,2,240,2.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Sebastian Bösel,de GER,"DF,MF",Saarbrücken,26,1994,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tim Boss,de GER,GK,Wehen,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aziz Bouhaddouz,ma MAR,FW,MSV Duisburg,34,1987,26,17,"1,548",17.2,9,3,12,8,1,2,5,0,0.52,0.17,0.70,0.47,0.64
Joseph Boyamba,de GER,"MF,DF",SV Waldhof,25,1996,33,26,"2,242",24.9,7,5,12,4,3,4,5,0,0.28,0.20,0.48,0.16,0.36
Terrence Boyd,us USA,FW,Kaiserslautern,30,1991,13,12,980,10.9,8,1,9,8,0,1,2,0,0.73,0.09,0.83,0.73,0.83
Terrence Boyd,us USA,FW,Hallescher,30,1991,16,16,"1,375",15.3,7,1,8,6,1,1,2,1,0.46,0.07,0.52,0.39,0.46
Sandrino Braun,de GER,DF,SC Freiburg II,33,1988,30,23,"2,018",22.4,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00
Niko Bretschneider,de GER,"DF,MF",MSV Duisburg,21,1999,27,18,"1,584",17.6,1,0,1,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06
Louis Breunig,de GER,DF,W'burg Kickers,17,2003,16,11,"1,014",11.3,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09
Maximilian Breunig,de GER,"FW,MF",W'burg Kickers,20,2000,20,10,871,9.7,3,0,3,3,0,0,0,0,0.31,0.00,0.31,0.31,0.31
Johannes Brinkies,de GER,GK,Zwickau,28,1993,34,34,"3,060",34.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Moritz Broschinski,de GER,FW,Dortmund II,20,2000,9,1,141,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Brumme,de GER,"MF,FW",Wehen,21,1999,20,8,788,8.8,4,3,7,4,0,0,0,0,0.46,0.34,0.80,0.46,0.80
Kai Brünker,de GER,FW,Magdeburg,27,1994,26,1,648,7.2,6,1,7,5,1,1,2,0,0.83,0.14,0.97,0.69,0.83
Robin Brüseke,de GER,GK,Verl,27,1993,9,8,734,8.2,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12
Daniel Buballa,de GER,DF,Viktoria Köln,31,1990,26,20,"1,534",17.0,1,2,3,1,0,0,5,0,0.06,0.12,0.18,0.06,0.18
Guille Bueno,es ESP,MF,Dortmund II,18,2002,12,7,691,7.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Rasim Bulic,de GER,MF,Saarbrücken,20,2000,5,2,133,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Albert Bunjaku,xk KVX,FW,Viktoria Köln,37,1983,5,2,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lars Bünning,de GER,DF,Meppen,23,1998,30,30,"2,589",28.8,1,2,3,1,0,0,7,0,0.03,0.07,0.10,0.03,0.10
Korbinian Burger,de GER,DF,Magdeburg,26,1995,17,11,"1,101",12.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nishan Burkart,ch SUI,"FW,MF",SC Freiburg II,21,2000,17,13,896,10.0,2,0,2,1,1,1,2,0,0.20,0.00,0.20,0.10,0.10
Justin Butler,de GER,FW,SV Waldhof,20,2001,9,1,119,1.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Nils Butzen,de GER,DF,Zwickau,28,1993,29,25,"2,211",24.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Florian Carstens,de GER,"DF,MF",Wehen,22,1998,23,17,"1,567",17.4,2,0,2,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11
Jason Ceka,de GER,"FW,MF",Magdeburg,21,1999,34,18,"1,861",20.7,10,5,15,9,1,1,4,0,0.48,0.24,0.73,0.44,0.68
Deniz Cicek,de GER,MF,Havelse,28,1992,9,1,159,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Hikmet Ciftci,tr TUR,"MF,DF",Kaiserslautern,23,1998,19,12,"1,156",12.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Tolcay Ciğerci,tr TUR,FW,Viktoria 1889,26,1995,14,12,"1,035",11.5,7,7,14,6,1,1,2,1,0.61,0.61,1.22,0.52,1.13
Lucas Cini,br BRA,FW,Viktoria 1889,21,1999,32,24,"1,822",20.2,6,3,9,6,0,0,5,0,0.30,0.15,0.44,0.30,0.44
Milos Cocic,rs SRB,MF,1860 Munich,18,2003,3,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Amara Conde,de GER,MF,Magdeburg,24,1997,35,35,"3,020",33.6,5,4,9,5,0,0,2,0,0.15,0.12,0.27,0.15,0.27
Jomaine Consbruch,de GER,MF,Braunschweig,19,2002,24,17,"1,403",15.6,4,4,8,4,0,0,1,0,0.26,0.26,0.51,0.26,0.51
Sirlord Conteh,de GER,"FW,MF",Magdeburg,25,1996,20,16,"1,084",12.0,5,1,6,5,0,0,1,0,0.42,0.08,0.50,0.42,0.50
Jo Coppens,be BEL,GK,MSV Duisburg,30,1990,4,3,334,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mael Corboz,us USA,MF,Verl,26,1994,33,28,"2,286",25.4,2,2,4,2,0,0,11,1,0.08,0.08,0.16,0.08,0.16
Can Coskun,de GER,"DF,MF",Zwickau,23,1998,27,19,"1,811",20.1,1,2,3,1,0,0,5,0,0.05,0.10,0.15,0.05,0.15
Marcel Costly,de GER,"DF,MF",SV Waldhof,25,1995,35,34,"2,951",32.8,3,3,6,3,0,0,5,0,0.09,0.09,0.18,0.09,0.18
Soumaïla Coulibaly,fr FRA,DF,Dortmund II,17,2003,9,8,636,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Mladen Cvjetinovic,ba BIH,"DF,MF",Viktoria 1889,17,2003,5,3,291,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Oliver Daedlow,de GER,MF,Havelse,21,2000,22,20,"1,646",18.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Leon Damer,de GER,"MF,FW",Havelse,21,2000,29,24,"2,193",24.4,2,2,4,2,0,0,1,0,0.08,0.08,0.16,0.08,0.16
Niklas Dams,de GER,DF,Dortmund II,31,1990,25,24,"2,076",23.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Yannick Deichmann,de GER,"DF,MF",1860 Munich,26,1994,33,33,"2,886",32.1,3,2,5,3,0,0,3,0,0.09,0.06,0.16,0.09,0.16
Julian Derstroff,de GER,"MF,FW",Hallescher,29,1992,26,10,"1,064",11.8,2,1,3,2,0,0,5,0,0.17,0.08,0.25,0.17,0.25
Maurice Deville,lu LUX,"MF,FW",Saarbrücken,29,1992,14,3,377,4.2,2,0,2,2,0,0,2,0,0.48,0.00,0.48,0.48,0.48
Lars Dietz,de GER,DF,W'burg Kickers,24,1997,22,20,"1,833",20.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
Maximilian Dietz,us USA,DF,SC Freiburg II,19,2002,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Alexander Dlugaiczyk,de GER,GK,Havelse,38,1983,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Erik Domaschke,de GER,GK,Meppen,35,1985,28,28,"2,506",27.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Tobias Dombrowa,de GER,MF,Meppen,22,1999,11,0,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Max Dombrowka,de GER,DF,Meppen,29,1992,30,27,"2,420",26.9,1,1,2,1,0,0,8,1,0.04,0.04,0.07,0.04,0.07
Anton Donkor,de GER,"DF,MF",SV Waldhof,23,1997,33,22,"2,070",23.0,0,2,2,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09
Dennis Dressel,de GER,"MF,DF",1860 Munich,22,1998,35,26,"2,445",27.2,2,3,5,2,0,1,2,0,0.07,0.11,0.18,0.07,0.18
Stefan Drljača,de GER,GK,Dortmund II,22,1999,15,15,"1,350",15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Julius Düker,de GER,"MF,FW",Havelse,25,1996,27,26,"2,192",24.4,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04
Michael Eberwein,de GER,"MF,FW",Hallescher,25,1996,33,33,"2,911",32.3,11,2,13,10,1,1,5,0,0.34,0.06,0.40,0.31,0.37
Florian Egerer,de GER,"MF,DF",Meppen,23,1998,19,8,795,8.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Justin Eilers,de GER,MF,Hallescher,33,1988,10,2,221,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Chinedu Ekene,de GER,FW,MSV Duisburg,22,1999,3,0,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Baris Ekincier,az AZE,MF,SV Waldhof,22,1999,13,1,220,2.4,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41
Yannik Engelhardt,de GER,MF,SC Freiburg II,20,2001,27,27,"2,323",25.8,1,3,4,1,0,0,8,0,0.04,0.12,0.15,0.04,0.15
Torben Engelking,de GER,FW,Havelse,25,1996,10,0,151,1.7,1,0,1,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60
Jakob Engelmann,de GER,DF,SC Freiburg II,31,1989,2,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dennis Erdmann,de GER,DF,Saarbrücken,30,1990,9,7,640,7.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Dominik Ernst,de GER,"DF,MF",Saarbrücken,30,1990,31,31,"2,727",30.3,1,6,7,1,0,0,12,0,0.03,0.20,0.23,0.03,0.23
Franck Evina,cm CMR,"FW,MF",Viktoria 1889,21,2000,8,6,400,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Willi Evseev,de GER,MF,Meppen,29,1992,12,6,666,7.4,2,1,3,1,1,1,1,0,0.27,0.14,0.41,0.14,0.27
Brooklyn Ezeh,de GER,"MF,DF",Viktoria 1889,20,2001,12,11,993,11.0,2,2,4,2,0,0,3,0,0.18,0.18,0.36,0.18,0.36
Cottrell Ezekwem,de GER,DF,Verl,22,1999,15,12,"1,060",11.8,0,1,1,0,0,0,7,0,0.00,0.08,0.08,0.00,0.08
Kimberly Ezekwem,de GER,"DF,MF",SC Freiburg II,20,2001,12,9,708,7.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Simon Fabio Stehle,de GER,FW,Kaiserslautern,19,2001,6,0,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Philip Fahrner,de GER,MF,SC Freiburg II,18,2003,4,0,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Amin Farouk,de GER,MF,Wehen,18,2003,16,5,477,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Morgan Faßbender,de GER,"MF,FW",Meppen,22,1998,34,29,"2,465",27.4,5,2,7,5,0,0,4,0,0.18,0.07,0.26,0.18,0.26
Gino Fechner,de GER,"DF,MF",Wehen,23,1997,24,22,"1,954",21.7,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05
Jonas Fedl,de GER,"DF,MF",Meppen,22,1999,21,6,801,8.9,0,1,1,0,0,0,4,1,0.00,0.11,0.11,0.00,0.11
Mike Feigenspan,de GER,"FW,MF",Meppen,25,1995,10,5,441,4.9,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20
Jasmin Fejzić,ba BIH,GK,Braunschweig,35,1986,35,35,"3,150",35.0,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03
Rolf Feltscher,ve VEN,"DF,MF",MSV Duisburg,30,1990,27,25,"2,277",25.3,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00
Bradley Fink,ch SUI,"FW,MF",Dortmund II,18,2003,9,7,594,6.6,2,0,2,2,0,0,0,0,0.30,0.00,0.30,0.30,0.30
Kolbeinn Finnsson,is ISL,"DF,MF",Dortmund II,21,1999,18,15,"1,392",15.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Tobias Fleckstein,de GER,DF,MSV Duisburg,22,1999,19,18,"1,621",18.0,2,0,2,2,0,0,3,0,0.11,0.00,0.11,0.11,0.11
Johannes Flum,de GER,"MF,DF",SC Freiburg II,33,1987,16,4,372,4.1,1,1,2,0,1,1,0,0,0.24,0.24,0.48,0.00,0.24
Tobias Fölster,de GER,DF,Havelse,27,1994,30,30,"2,689",29.9,2,1,3,2,0,0,2,1,0.07,0.03,0.10,0.07,0.10
Maximilian Franke,de GER,FW,Verl,19,2002,2,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Maximilian Franzke,de GER,FW,Magdeburg,22,1999,7,0,89,1.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Alexander Freitag,de GER,MF,1860 Munich,22,1999,5,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marlon Frey,de GER,"MF,DF",MSV Duisburg,25,1996,33,29,"2,570",28.6,1,1,2,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07
Davy Frick,de GER,"DF,MF",Zwickau,31,1990,24,17,"1,610",17.9,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00
Moritz Fritz,de GER,"MF,DF",Viktoria Köln,28,1993,25,19,"1,604",17.8,3,1,4,3,0,0,6,1,0.17,0.06,0.22,0.17,0.22
Kianz Froese,ca CAN,"MF,FW",Havelse,25,1996,31,30,"2,633",29.3,5,6,11,3,2,2,6,0,0.17,0.21,0.38,0.10,0.31
Constantin Frommann,de GER,GK,Meppen,23,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Guillerme Furrer,ch SUI,FW,SC Freiburg II,20,2001,11,1,292,3.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Nick Galle,de GER,"DF,MF",Saarbrücken,22,1998,14,9,890,9.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Martin Gamboš,sk SVK,MF,Viktoria 1889,23,1998,8,4,448,5.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Rafael García,es ESP,MF,SV Waldhof,27,1993,6,0,158,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Vincent Gembalies,de GER,DF,MSV Duisburg,21,2000,19,14,"1,376",15.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Darius Ghindovean,ro ROU,MF,MSV Duisburg,19,2001,10,1,217,2.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Neal Gibs,de GER,DF,Kaiserslautern,19,2002,5,1,200,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Benjamin Girth,de GER,FW,Braunschweig,29,1992,21,0,302,3.4,3,0,3,3,0,0,1,0,0.89,0.00,0.89,0.89,0.89
Dave Gnaase,de GER,MF,Saarbrücken,24,1996,26,20,"1,443",16.0,0,2,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12
Patrick Göbel,de GER,"MF,DF",Zwickau,28,1993,31,26,"2,328",25.9,0,9,9,0,0,0,2,0,0.00,0.35,0.35,0.00,0.35
Kevin Goden,de GER,"DF,MF",1860 Munich,22,1999,21,2,393,4.4,3,1,4,3,0,0,2,0,0.69,0.23,0.92,0.69,0.92
Gerrit Gohlke,de GER,DF,SV Waldhof,22,1999,16,8,726,8.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Johan Gomez,us USA,"FW,MF",Zwickau,20,2001,33,20,"1,817",20.2,4,2,6,3,1,1,5,0,0.20,0.10,0.30,0.15,0.25
Thijmen Goppel,nl NED,"MF,FW",Wehen,24,1997,33,28,"2,338",26.0,4,3,7,4,0,0,4,0,0.15,0.12,0.27,0.15,0.27
Luis Görlich,de GER,DF,Braunschweig,21,2000,3,1,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marcel Gottschling,de GER,DF,SV Waldhof,27,1994,4,3,169,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Felix Götze,de GER,"MF,DF",Kaiserslautern,23,1998,23,14,"1,252",13.9,2,1,3,2,0,0,2,0,0.14,0.07,0.22,0.14,0.22
Mohamed Gouaida,tn TUN,MF,SV Waldhof,28,1993,5,1,158,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Minos Gouras,de GER,"MF,FW",Saarbrücken,23,1998,29,17,"1,683",18.7,5,2,7,5,0,0,3,0,0.27,0.11,0.37,0.27,0.37
Anil Gözütok,de GER,MF,Kaiserslautern,20,2000,2,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nico Granatowski,de GER,"FW,MF",Magdeburg,30,1991,2,0,14,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Christoph Greger,de GER,DF,Viktoria Köln,24,1997,31,30,"2,610",29.0,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00
Fabian Greilinger,de GER,"MF,DF",1860 Munich,20,2000,25,15,"1,483",16.5,3,0,3,3,0,0,1,0,0.18,0.00,0.18,0.18,0.18
Lukas Griebsch,de GER,FW,Hallescher,17,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Adriano Grimaldi,de GER,FW,Saarbrücken,30,1991,23,23,"1,837",20.4,11,2,13,10,1,1,4,0,0.54,0.10,0.64,0.49,0.59
Joel Grodowski,de GER,FW,Verl,23,1997,12,5,483,5.4,1,1,2,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37
Alexander Groiß,de GER,MF,Saarbrücken,23,1998,21,7,712,7.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Leonardo Gubinelli,ch SUI,"MF,FW",Havelse,20,2000,13,9,798,8.9,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11
René Guder,de GER,"MF,FW",Meppen,26,1994,29,20,"1,720",19.1,3,1,4,3,0,0,4,1,0.16,0.05,0.21,0.16,0.21
Lukas Gugganig,at AUT,DF,Osnabrück,26,1995,30,20,"1,900",21.1,1,0,1,1,0,1,4,0,0.05,0.00,0.05,0.05,0.05
,,,,,,,,,,,,,,,,,,,,,,
