Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Orhan Ademi,ch SUI,FW,MSV Duisburg,29,1991,35,26,"2,251",25.0,12,4,16,11,1,2,3,0,0.48,0.16,0.64,0.44,0.60
Ryan Adigo,bj BEN,MF,W'burg Kickers,20,2001,13,2,329,3.7,0,1,1,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27
Marvin Ajani,de GER,MF,MSV Duisburg,27,1993,31,20,"1,924",21.4,3,2,5,3,0,0,6,0,0.14,0.09,0.23,0.14,0.23
Cyrill Akono,de GER,FW,Verl,21,2000,25,20,"1,589",17.7,7,1,8,7,0,0,3,0,0.40,0.06,0.45,0.40,0.45
Ilhan Altuntas,de GER,DF,Viktoria Köln,18,2003,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Beyhan Ametov,de GER,MF,Meppen,22,1998,21,3,496,5.5,1,1,2,1,0,0,0,0,0.18,0.18,0.36,0.18,0.36
Youssef Amyn,iq IRQ,"FW,MF",Viktoria Köln,17,2003,30,12,"1,310",14.6,4,2,6,4,0,0,2,0,0.27,0.14,0.41,0.27,0.41
Fynn Arkenberg,de GER,DF,Havelse,25,1996,30,29,"2,604",28.9,2,0,2,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07
Raphael Assibey-Mensah,de GER,DF,SC Freiburg II,21,1999,7,1,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Barış Atik,de GER,"FW,MF",Magdeburg,26,1995,33,33,"2,842",31.6,18,18,36,13,5,8,10,0,0.57,0.57,1.14,0.41,0.98
Dildar Atmaca,de GER,MF,W'burg Kickers,18,2002,9,2,255,2.8,0,1,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35
Noah Atubolu,de GER,GK,SC Freiburg II,19,2002,29,29,"2,610",29.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Tom Baack,de GER,"MF,DF",Verl,22,1999,29,26,"2,255",25.1,0,3,3,0,0,0,11,0,0.00,0.12,0.12,0.00,0.12
Kebba Badjie,gm GAM,"MF,FW",Hallescher,21,1999,15,7,666,7.4,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14
Kamal Bafounta,fr FRA,MF,Dortmund II,19,2002,3,0,18,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Haymenn Bah-Traore,tg TOG,DF,Dortmund II,24,1997,20,3,575,6.4,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16
Mike-Steven Bähre,de GER,"MF,FW",Meppen,25,1995,11,9,742,8.2,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12
Marvin Bakalorz,de GER,"MF,DF",MSV Duisburg,31,1989,24,18,"1,464",16.3,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
Alaa Bakir,jo JOR,"MF,FW",MSV Duisburg,20,2001,28,15,"1,339",14.9,2,1,3,2,0,0,7,0,0.13,0.07,0.20,0.13,0.20
Markus Ballmert,de GER,DF,Meppen,27,1993,32,32,"2,782",30.9,1,8,9,1,0,0,6,0,0.03,0.26,0.29,0.03,0.29
Yannik Bangsow,de GER,GK,Braunschweig,23,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ulrich Bapoh,de GER,MF,Osnabrück,22,1999,22,4,569,6.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Marcel Bär,de GER,"FW,MF",1860 Munich,29,1992,35,33,"2,860",31.8,21,7,28,19,2,2,4,0,0.66,0.22,0.88,0.60,0.82
