Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Andrés Andrade Cedeño,pa PAN,DF,Arminia,23,1998,26,24,"2,071",23.0,1,0,1,1,0,0,4,0,0.8,0.8,0.5,1.3,13,59,11,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.06,0.03,0.06
Bent Andresen,de GER,DF,Hamburger SV,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Devin Angleberger,de GER,MF,Greuther Fürth,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Shinta Appelkamp,de GER,MF,Düsseldorf,21,2000,33,25,"2,139",23.8,6,9,15,6,0,0,1,0,3.0,3.0,6.5,9.5,30,119,99,0.25,0.38,0.63,0.25,0.63,0.13,0.27,0.40,0.13,0.40
Kelvin Arase,at AUT,"FW,MF",Karlsruher,23,1999,7,2,231,2.6,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.8,12,7,31,0.00,0.39,0.39,0.00,0.39,0.13,0.17,0.30,0.13,0.30
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,22,2000,26,9,871,9.7,1,2,3,1,0,0,5,0,4.0,4.0,3.6,7.6,21,19,66,0.10,0.21,0.31,0.10,0.31,0.41,0.37,0.78,0.41,0.78
Bright Arrey-Mbi,de GER,DF,Hannover 96,19,2003,15,14,"1,183",13.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Simon Asta,de GER,DF,Greuther Fürth,21,2001,31,24,"2,161",24.0,2,6,8,2,0,0,6,1,1.7,1.7,4.0,5.7,47,90,122,0.08,0.25,0.33,0.08,0.33,0.07,0.17,0.24,0.07,0.24
Barış Atik,de GER,FW,Magdeburg,27,1995,28,27,"2,309",25.7,8,4,12,7,1,2,9,0,7.2,5.7,6.5,12.2,104,132,211,0.31,0.16,0.47,0.27,0.43,0.28,0.25,0.54,0.22,0.47
Kwadwo Baah,eng ENG,FW,Düsseldorf,19,2003,7,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Janik Bachmann,de GER,MF,Sandhausen,26,1996,28,27,"2,386",26.5,3,2,5,3,0,0,8,0,2.9,2.9,1.8,4.7,16,67,43,0.11,0.08,0.19,0.11,0.19,0.11,0.07,0.18,0.11,0.18
Matthias Bader,de GER,DF,Darmstadt 98,25,1997,26,26,"2,289",25.4,2,2,4,2,0,0,3,1,1.7,1.7,2.7,4.4,69,109,105,0.08,0.08,0.16,0.08,0.16,0.07,0.10,0.17,0.07,0.17
Florian Ballas,de GER,DF,Karlsruher,29,1993,9,0,96,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,2,1,0.00,0.00,0.00,0.00,0.00,0.17,0.19,0.37,0.17,0.37
Jacob Barrett Laursen,dk DEN,"FW,DF",Arminia,27,1994,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Fin Bartels,de GER,"MF,FW",Holstein Kiel,35,1987,20,9,879,9.8,5,0,5,5,0,0,1,0,2.7,2.7,0.9,3.6,17,55,53,0.51,0.00,0.51,0.51,0.51,0.27,0.10,0.37,0.27,0.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Basenach,de GER,MF,Kaiserslautern,19,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malik Batmaz,de GER,FW,Karlsruher,22,2000,20,10,827,9.2,2,0,2,2,0,0,1,0,1.9,1.9,1.0,2.9,18,21,74,0.22,0.00,0.22,0.22,0.22,0.21,0.11,0.32,0.21,0.32
Adrian Beck,de GER,MF,Heidenheim,25,1997,18,15,"1,186",13.2,3,2,5,3,0,0,1,0,2.1,2.1,1.2,3.3,22,63,40,0.23,0.15,0.38,0.23,0.38,0.16,0.09,0.25,0.16,0.25
Timo Becker,de GER,DF,Holstein Kiel,25,1997,24,24,"2,011",22.3,3,3,6,3,0,0,6,0,2.9,2.9,2.1,5.0,45,65,75,0.13,0.13,0.27,0.13,0.27,0.13,0.09,0.22,0.13,0.22
Brian Behrendt,de GER,DF,Braunschweig,30,1991,16,16,"1,326",14.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.6,16,41,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
Maximilian Beier,de GER,FW,Hannover 96,19,2002,33,25,"2,168",24.1,7,0,7,6,1,2,1,0,6.9,5.3,1.1,6.5,39,33,165,0.29,0.00,0.29,0.25,0.25,0.29,0.05,0.34,0.22,0.27
Marcel Beifus,de GER,DF,St. Pauli,19,2002,9,2,236,2.6,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.1,3,16,1,0.00,0.38,0.38,0.00,0.38,0.10,0.30,0.41,0.10,0.41
Leon Bell Bell,cm CMR,DF,Magdeburg,25,1996,24,22,"1,879",20.9,0,1,1,0,0,0,6,0,1.2,1.2,1.3,2.5,67,79,125,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12
George Bello,us USA,DF,Arminia,20,2002,21,6,772,8.6,0,0,0,0,0,0,1,0,0.5,0.5,1.3,1.8,34,28,46,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.06,0.21
Yassin Ben Balla,fr FRA,MF,Darmstadt 98,26,1996,13,1,153,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,3,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13
László Bénes,sk SVK,MF,Hamburger SV,24,1997,33,19,"1,789",19.9,6,9,15,4,2,3,5,0,6.4,3.9,5.1,8.9,39,93,105,0.30,0.45,0.75,0.20,0.65,0.32,0.25,0.58,0.19,0.45
Filip Benković,hr CRO,DF,Braunschweig,25,1997,19,17,"1,576",17.5,0,0,0,0,0,0,2,0,0.8,0.8,0.0,0.8,1,27,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Keanan Bennetts,eng ENG,"FW,DF",Darmstadt 98,23,1999,15,0,251,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,16,7,26,0.00,0.00,0.00,0.00,0.00,0.04,0.30,0.33,0.04,0.33
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,23,1999,34,34,"2,761",30.7,12,12,24,9,3,3,4,0,7.0,4.6,10.3,15.0,80,73,211,0.39,0.39,0.78,0.29,0.68,0.23,0.34,0.56,0.15,0.49
Max Besuschkow,de GER,MF,Hannover 96,25,1997,31,23,"2,070",23.0,1,4,5,1,0,0,2,0,1.5,1.5,4.3,5.8,37,141,48,0.04,0.17,0.22,0.04,0.22,0.07,0.19,0.25,0.07,0.25
Filip Bilbija,de GER,"FW,MF",Hamburger SV,22,2000,13,0,92,1.0,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,2,4,9,0.98,0.00,0.98,0.98,0.98,1.24,0.06,1.30,1.24,1.30
Alexander Bittroff,de GER,"DF,MF",Magdeburg,33,1988,15,8,802,8.9,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,12,35,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Danny Blum,de GER,"MF,DF",Nürnberg,31,1991,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Herbert Bockhorn,de GER,"DF,MF",Magdeburg,27,1995,25,24,"2,049",22.8,1,2,3,1,0,0,4,0,0.7,0.7,2.4,3.1,78,83,106,0.04,0.09,0.13,0.04,0.13,0.03,0.10,0.14,0.03,0.14
Benjamin Böckle,at AUT,"DF,MF",Düsseldorf,20,2002,6,0,41,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
Adam Bodzek,de GER,MF,Düsseldorf,36,1985,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luca Bolay,de GER,MF,Karlsruher,20,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tarsis Bonga,de GER,"FW,MF",Braunschweig,25,1997,13,3,343,3.8,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,6,6,24,0.00,0.00,0.00,0.00,0.00,0.16,0.13,0.29,0.16,0.29
Robin Bormuth,de GER,DF,Kaiserslautern,26,1995,21,18,"1,611",17.9,0,0,0,0,0,0,4,0,0.3,0.3,0.0,0.4,7,48,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Julian Börner,de GER,DF,Hannover 96,31,1991,26,25,"2,214",24.6,1,0,1,1,0,0,6,0,1.0,1.0,0.1,1.1,22,82,6,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.05,0.04,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Boss,de GER,GK,Magdeburg,29,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carlo Boukhalfa,ma MAR,"MF,FW",St. Pauli,23,1999,9,2,189,2.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,6,7,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Terrence Boyd,us USA,FW,Kaiserslautern,31,1991,33,32,"2,561",28.5,13,2,15,13,0,0,6,0,14.8,14.8,2.1,16.9,15,36,151,0.46,0.07,0.53,0.46,0.53,0.52,0.07,0.60,0.52,0.60
Pascal Breier,de GER,FW,Hansa Rostock,30,1992,5,0,105,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,2,1,4,0.86,0.00,0.86,0.86,0.86,0.68,0.06,0.74,0.68,0.74
Tim Breithaupt,de GER,MF,Karlsruher,20,2002,22,22,"1,780",19.8,1,1,2,1,0,0,2,0,1.4,1.4,1.4,2.8,9,71,14,0.05,0.05,0.10,0.05,0.10,0.07,0.07,0.14,0.07,0.14
Steve Breitkreuz,de GER,DF,Jahn R'burg,30,1992,22,19,"1,707",19.0,0,0,0,0,0,0,6,1,0.4,0.4,0.0,0.4,5,22,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Louis Breunig,de GER,DF,Nürnberg,18,2003,1,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel Brosinski,de GER,DF,Karlsruher,34,1988,10,5,396,4.4,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.5,7,24,12,0.00,0.23,0.23,0.00,0.23,0.01,0.10,0.11,0.01,0.11
Nathaniel Brown,de GER,DF,Nürnberg,19,2003,11,8,730,8.1,1,1,2,1,0,0,1,0,0.8,0.8,1.1,1.9,28,36,28,0.12,0.12,0.25,0.12,0.25,0.10,0.13,0.23,0.10,0.23
Kai Brünker,de GER,FW,Magdeburg,28,1994,23,5,556,6.2,0,2,2,0,0,0,2,0,1.4,1.4,0.9,2.3,6,7,27,0.00,0.32,0.32,0.00,0.32,0.22,0.15,0.38,0.22,0.38
Alexander Brunst,de GER,GK,Darmstadt 98,27,1995,3,2,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel Bunk,de GER,MF,Düsseldorf,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lars Bünning,de GER,DF,Kaiserslautern,24,1998,4,2,216,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,13,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Dženis Burnić,ba BIH,MF,Heidenheim,24,1998,20,4,530,5.9,0,1,1,0,0,0,5,1,0.6,0.6,0.1,0.7,11,35,10,0.00,0.17,0.17,0.00,0.17,0.09,0.02,0.12,0.09,0.12
Marnon Busch,de GER,DF,Heidenheim,27,1994,30,30,"2,643",29.4,2,3,5,2,0,0,3,0,0.7,0.7,2.0,2.8,37,132,84,0.07,0.10,0.17,0.07,0.17,0.03,0.07,0.09,0.03,0.09
Malcolm Cacutalua,de GER,"DF,FW",Magdeburg,27,1994,5,1,97,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,3,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Kerim Calhanoglu,de GER,"DF,MF",Sandhausen,19,2002,8,8,578,6.4,0,0,0,0,0,0,2,0,0.1,0.1,1.3,1.4,25,19,21,0.00,0.00,0.00,0.00,0.00,0.02,0.20,0.22,0.02,0.22
Kaan Caliskaner,de GER,"MF,FW",Jahn R'burg,22,1999,29,19,"1,679",18.7,6,0,6,6,0,0,2,0,3.7,3.7,0.6,4.3,43,57,66,0.32,0.00,0.32,0.32,0.32,0.20,0.03,0.23,0.20,0.23
Jonas Carls,de GER,"DF,FW",Paderborn 07,25,1997,9,0,161,1.8,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,5,6,12,0.00,0.56,0.56,0.00,0.56,0.01,0.15,0.16,0.01,0.16
Luc Castaignos,nl NED,FW,Magdeburg,29,1992,7,5,373,4.1,1,0,1,1,0,0,1,0,1.1,1.1,0.3,1.4,3,2,19,0.24,0.00,0.24,0.24,0.24,0.27,0.07,0.34,0.27,0.34
Jens Castrop,de GER,"MF,DF",Nürnberg,19,2003,29,26,"1,935",21.5,2,2,4,2,0,0,4,1,1.6,1.6,2.0,3.6,43,73,90,0.09,0.09,0.19,0.09,0.19,0.08,0.09,0.17,0.08,0.17
Jason Ceka,de GER,FW,Magdeburg,22,1999,29,18,"1,524",16.9,5,8,13,5,0,0,4,0,3.9,3.9,3.5,7.5,39,76,165,0.30,0.47,0.77,0.30,0.77,0.23,0.21,0.44,0.23,0.44
Ekin Celebi,de GER,DF,Hannover 96,22,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Max Christiansen,de GER,MF,Greuther Fürth,25,1996,31,31,"2,757",30.6,0,2,2,0,0,0,6,0,0.8,0.8,1.9,2.7,20,118,31,0.00,0.07,0.07,0.00,0.07,0.03,0.06,0.09,0.03,0.09
Hikmet Ciftci,tr TUR,MF,Kaiserslautern,24,1998,13,1,279,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,17,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amara Conde,de GER,MF,Magdeburg,25,1997,29,25,"2,188",24.3,3,3,6,3,0,0,8,0,3.0,3.0,2.2,5.2,32,138,41,0.12,0.12,0.25,0.12,0.25,0.12,0.09,0.21,0.12,0.21
Jomaine Consbruch,de GER,MF,Arminia,20,2002,21,16,"1,291",14.3,4,2,6,4,0,0,5,0,3.1,3.1,2.0,5.1,21,40,42,0.28,0.14,0.42,0.28,0.42,0.21,0.14,0.35,0.21,0.35
Sirlord Conteh,de GER,"FW,MF",Paderborn 07,26,1996,33,21,"1,818",20.2,6,3,9,6,0,0,3,1,6.5,6.5,3.5,9.9,30,31,136,0.30,0.15,0.45,0.30,0.45,0.32,0.17,0.49,0.32,0.49
Theo Corbeanu,ca CAN,"FW,DF",Arminia,20,2002,13,0,223,2.5,0,0,0,0,0,0,1,0,0.8,0.8,0.6,1.4,18,9,21,0.00,0.00,0.00,0.00,0.00,0.32,0.24,0.55,0.32,0.55
Lucas Cueto,de GER,"MF,FW",Karlsruher,26,1996,21,5,596,6.6,1,1,2,1,0,0,2,0,2.7,2.7,1.4,4.1,22,9,48,0.15,0.15,0.30,0.15,0.30,0.41,0.21,0.62,0.41,0.62
Christoph Daferner,de GER,FW,Nürnberg,24,1998,29,16,"1,518",16.9,3,0,3,3,0,0,3,0,5.4,5.4,2.2,7.7,3,16,71,0.18,0.00,0.18,0.18,0.18,0.32,0.13,0.45,0.32,0.45
Thomas Dähne,de GER,GK,Holstein Kiel,28,1994,15,15,"1,350",15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lukas Daschner,de GER,"FW,MF",St. Pauli,23,1998,34,30,"2,641",29.3,9,6,15,9,0,0,4,0,8.9,8.8,6.0,14.8,55,80,217,0.31,0.20,0.51,0.31,0.51,0.30,0.20,0.51,0.30,0.50
Jonas David,de GER,DF,Hamburger SV,22,2000,26,18,"1,602",17.8,1,0,1,1,0,0,4,0,0.9,0.9,0.0,0.9,20,47,10,0.06,0.00,0.06,0.06,0.06,0.05,0.00,0.05,0.05,0.05
Saulo Decarli,ch SUI,DF,Braunschweig,30,1992,14,12,"1,034",11.5,1,0,1,1,0,0,1,0,1.2,1.2,0.1,1.3,1,25,1,0.09,0.00,0.09,0.09,0.09,0.10,0.01,0.11,0.10,0.11
Jannik Dehm,de GER,DF,Hannover 96,26,1996,19,13,"1,051",11.7,0,2,2,0,0,0,1,0,0.6,0.6,0.6,1.1,16,29,32,0.00,0.17,0.17,0.00,0.17,0.05,0.05,0.10,0.05,0.10
Johannes van den Bergh,de GER,DF,Holstein Kiel,35,1986,4,1,154,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jasper van der Werff,ch SUI,DF,Paderborn 07,23,1998,7,6,461,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,6,26,4,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Oumar Diakhite,sn SEN,DF,Sandhausen,28,1993,4,2,201,2.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17
Dennis Diekmeier,de GER,DF,Sandhausen,32,1989,13,11,985,10.9,0,0,0,0,0,0,2,0,0.9,0.9,0.3,1.2,14,23,26,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11
Maximilian Dietz,us USA,DF,Greuther Fürth,20,2002,4,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Benno Dietze,de GER,MF,Hansa Rostock,19,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jean-Luc Dompé,fr FRA,FW,Hamburger SV,26,1995,27,23,"1,742",19.4,3,10,13,3,0,0,2,0,2.1,2.1,7.7,9.8,96,47,203,0.15,0.52,0.67,0.15,0.67,0.11,0.40,0.51,0.11,0.51
Lee Donggyeong,kr KOR,"MF,FW",Hansa Rostock,24,1997,12,2,321,3.6,0,1,1,0,0,0,1,0,0.5,0.5,1.4,1.9,5,15,12,0.00,0.28,0.28,0.00,0.28,0.15,0.38,0.53,0.15,0.53
Anton Donkor,de GER,DF,Braunschweig,24,1997,32,26,"2,374",26.4,3,1,4,3,0,0,7,1,1.6,1.6,2.9,4.5,90,65,87,0.11,0.04,0.15,0.11,0.15,0.06,0.11,0.17,0.06,0.17
Dennis Dressel,de GER,MF,Hansa Rostock,23,1998,34,31,"2,814",31.3,2,2,4,2,0,0,5,0,2.4,2.4,2.3,4.7,39,96,53,0.06,0.06,0.13,0.06,0.13,0.08,0.07,0.15,0.08,0.15
Patrick Drewes,de GER,GK,Sandhausen,29,1993,30,30,"2,700",30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rick van Drongelen,nl NED,DF,Hansa Rostock,23,1998,23,19,"1,837",20.4,1,0,1,1,0,0,5,0,1.5,1.5,0.3,1.9,4,39,7,0.05,0.00,0.05,0.05,0.05,0.07,0.02,0.09,0.07,0.09
Kwadwo Duah,ch SUI,FW,Nürnberg,25,1997,33,29,"2,430",27.0,11,0,11,9,2,2,3,0,9.1,7.5,1.9,9.4,38,27,166,0.41,0.00,0.41,0.33,0.33,0.34,0.07,0.41,0.28,0.35
Jeremy Dudziak,tn TUN,"FW,MF",Greuther Fürth,26,1995,10,1,271,3.0,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,10,10,22,0.00,0.00,0.00,0.00,0.00,0.26,0.03,0.29,0.26,0.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haris Duljević,ba BIH,"MF,FW",Hansa Rostock,28,1993,18,10,902,10.0,0,1,1,0,0,0,0,0,0.5,0.5,1.5,2.1,33,45,63,0.00,0.10,0.10,0.00,0.10,0.05,0.15,0.21,0.05,0.21
Taylan Duman,de GER,"MF,FW",Nürnberg,25,1997,15,8,727,8.1,0,3,3,0,0,0,3,0,1.0,1.0,1.8,2.8,18,56,55,0.00,0.37,0.37,0.00,0.37,0.12,0.23,0.35,0.12,0.35
Erik Durm,de GER,DF,Kaiserslautern,30,1992,27,22,"1,962",21.8,0,1,1,0,0,0,7,0,1.2,1.2,1.7,2.8,38,73,73,0.00,0.05,0.05,0.00,0.05,0.05,0.08,0.13,0.05,0.13
Eldin Dzogovic,lu LUX,FW,Magdeburg,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adam Dźwigała,pl POL,DF,St. Pauli,26,1995,19,13,"1,189",13.2,1,1,2,1,0,0,1,0,0.9,0.9,0.6,1.5,4,55,2,0.08,0.08,0.15,0.08,0.15,0.07,0.05,0.12,0.07,0.12
Johannes Eggestein,de GER,FW,St. Pauli,24,1998,21,12,983,10.9,5,1,6,5,0,0,0,0,3.6,3.6,1.3,4.9,23,27,110,0.46,0.09,0.55,0.46,0.55,0.33,0.12,0.45,0.33,0.45
Kai Eisele,de GER,GK,Karlsruher,27,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel Elfadli,ly LBY,"MF,DF",Magdeburg,25,1997,26,21,"1,884",20.9,3,0,3,3,0,0,5,0,1.4,1.4,0.1,1.5,8,61,13,0.14,0.00,0.14,0.14,0.14,0.07,0.00,0.07,0.07,0.07
Jan Elvedi,ch SUI,DF,Jahn R'burg,25,1996,32,31,"2,805",31.2,1,0,1,1,0,0,8,0,1.2,1.2,0.1,1.4,14,53,5,0.03,0.00,0.03,0.03,0.03,0.04,0.00,0.04,0.04,0.04
Keita Endo,jp JPN,"MF,FW",Braunschweig,24,1997,18,11,917,10.2,0,1,1,0,0,0,2,0,1.5,1.5,0.5,2.0,32,28,48,0.00,0.10,0.10,0.00,0.10,0.15,0.05,0.19,0.15,0.19
Sebastian Ernst,de GER,"MF,FW",Hannover 96,27,1995,19,7,816,9.1,0,0,0,0,0,0,3,0,1.2,1.2,0.6,1.9,22,34,37,0.00,0.00,0.00,0.00,0.00,0.14,0.07,0.21,0.14,0.21
Patrick Erras,de GER,"MF,DF",Holstein Kiel,27,1995,27,27,"2,430",27.0,1,1,2,1,0,0,5,0,3.2,3.2,1.3,4.5,5,105,13,0.04,0.04,0.07,0.04,0.07,0.12,0.05,0.17,0.12,0.17
