Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Dickson Abiama,ng NGA,FW,Greuther Fürth,23,1998,30,12,"1,177",13.1,3,1,4,3,0,0,3,1,3.6,3.6,1.3,4.9,30,28,87,0.23,0.08,0.31,0.23,0.31,0.28,0.10,0.38,0.28,0.38
Ragnar Ache,de GER,FW,Greuther Fürth,24,1998,32,23,"1,902",21.1,7,2,9,7,0,0,3,0,10.1,10.1,2.4,12.4,19,18,105,0.33,0.09,0.43,0.33,0.43,0.48,0.11,0.59,0.48,0.59
Kemal Ademi,ch SUI,FW,Sandhausen,26,1996,16,8,596,6.6,1,0,1,1,0,0,2,0,1.9,1.9,0.2,2.1,5,5,36,0.15,0.00,0.15,0.15,0.15,0.29,0.04,0.32,0.29,0.32
Aremu Afeez,ng NGA,MF,St. Pauli,22,1999,17,9,791,8.8,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,9,41,11,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,24,1998,16,15,"1,215",13.5,3,3,6,3,0,0,5,1,2.5,2.5,1.6,4.1,52,32,105,0.22,0.22,0.44,0.22,0.44,0.19,0.12,0.31,0.19,0.31
Andreas Albers,dk DEN,"FW,MF",Jahn R'burg,32,1990,34,25,"2,357",26.2,6,1,7,5,1,2,2,0,7.0,5.4,2.0,7.4,14,49,111,0.23,0.04,0.27,0.19,0.23,0.27,0.08,0.34,0.21,0.28
Xavier Amaechi,eng ENG,"FW,MF",Hamburger SV,21,2001,7,0,127,1.4,0,1,1,0,0,0,1,0,0.2,0.2,0.8,1.1,7,6,25,0.00,0.71,0.71,0.00,0.71,0.17,0.60,0.77,0.17,0.77
Stephan Ambrosius,gh GHA,DF,Karlsruher,23,1998,18,16,"1,377",15.3,0,0,0,0,0,0,7,1,0.4,0.4,0.0,0.5,15,28,7,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Etienne Amenyido,tg TOG,"FW,MF",St. Pauli,24,1998,13,8,752,8.4,1,0,1,1,0,0,1,0,1.6,1.6,0.7,2.3,9,21,67,0.12,0.00,0.12,0.12,0.12,0.20,0.08,0.28,0.20,0.28
Frederic Ananou,tg TOG,"DF,MF",Hansa Rostock,24,1997,20,13,"1,298",14.4,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,22,42,22,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
