Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Boné Uaferro,de GER,DF,Saarbrücken,31,1992,26,19,"1,521",16.9,2,1,3,2,0,0,5,1,0.12,0.06,0.18,0.12,0.18
Michael Udebuluzor,hk HKG,FW,Ingolstadt 04,19,2004,3,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,
Luca Unbehaun,de GER,GK,Verl,22,2001,33,33,"2,922",32.5,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03
Benjamin Uphoff,de GER,GK,SC Freiburg II,29,1993,17,17,"1,522",16.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Yasin Varol,,FW,Lübeck,,,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Robin Velasco,de GER,MF,Lübeck,21,2002,33,22,"1,800",20.0,5,1,6,5,0,1,4,0,0.25,0.05,0.30,0.25,0.30
Jesper Verlaat,nl NED,DF,1860 Munich,27,1996,36,36,"3,215",35.7,1,1,2,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06
Christian Viet,de GER,MF,Jahn R'burg,24,1999,35,35,"2,947",32.7,10,7,17,9,1,1,7,0,0.31,0.21,0.52,0.27,0.49
Panagiotis Vlachodimos,gr GRE,"MF,FW",Dresden,31,1991,10,2,271,3.0,2,0,2,2,0,0,0,0,0.66,0.00,0.66,0.66,0.66
Sascha Voelcke,de GER,MF,Rot-Weiss Essen,21,2002,27,6,803,8.9,2,1,3,2,0,0,1,0,0.22,0.11,0.34,0.22,0.34
René Vollath,de GER,GK,Unterhaching,33,1990,36,36,"3,225",35.8,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03
Jannes Vollert,de GER,DF,Hallescher,25,1998,14,10,950,10.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Leonardo Vonić,hr CRO,FW,Rot-Weiss Essen,20,2003,35,18,"1,602",17.8,9,3,12,8,1,1,4,0,0.51,0.17,0.67,0.45,0.62
Eric Voufack,de GER,DF,Rot-Weiss Essen,21,2001,23,16,"1,309",14.5,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07
Albion Vrenezi,xk KVX,"MF,FW",1860 Munich,29,1993,28,12,"1,348",15.0,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07
Niko Vukancic,de GER,DF,Erzgebirge Aue,21,2002,29,26,"2,369",26.3,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00
Fridolin Wagner,de GER,MF,SV Waldhof,25,1997,30,23,"2,045",22.7,4,2,6,4,0,0,7,0,0.18,0.09,0.26,0.18,0.26
Noah Wagner,de GER,MF,SC Freiburg II,18,2005,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dennis Waidner,de GER,"DF,MF",Unterhaching,22,2001,35,35,"3,119",34.7,0,2,2,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06
Gerrit Wegkamp,de GER,FW,Preußen Münster,30,1993,37,9,"1,170",13.0,5,4,9,5,0,1,1,0,0.38,0.31,0.69,0.38,0.69
